COUNTRY,FOCUS_GROUP,PRODUCT_GENDER_CLUSTER,MAIN_CATEGORY_CLUSTER,GMV_BEFORE_RETURN
FI,,MEN AND UNISEX,ACC,1945
IT,Peer,KIDS,ACC,85323
NL,Brand,KIDS,FTW,208359
BE,Peer,MEN AND UNISEX,ACC,380377
HU,Brand,WOMEN,APP,9334
DK,Brand,KIDS,APP,80602
NO,Peer,MEN AND UNISEX,FTW,1785562
SI,Brand,WOMEN,FTW,9312
AT,,WOMEN,FTW,5049
HR,Peer,MEN AND UNISEX,ACC,23041
DE,Brand,MEN AND UNISEX,FTW,8206497
CZ,Brand,MEN AND UNISEX,ACC,17648
SK,,WOMEN,APP,118
IE,Peer,MEN AND UNISEX,APP,94283
AT,Brand,MEN AND UNISEX,APP,233773
GB,Brand,WOMEN,APP,37819
EE,Peer,MEN AND UNISEX,FTW,51792
SE,Brand,KIDS,FTW,48242
SI,Peer,MEN AND UNISEX,ACC,14743
HU,Brand,KIDS,APP,3076
HU,,WOMEN,APP,169
HR,Peer,KIDS,FTW,123158
BE,,WOMEN,APP,19062
ES,,WOMEN,ACC,3253
PL,Peer,MEN AND UNISEX,FTW,5046437
PL,Brand,MEN AND UNISEX,APP,351957
DE,Peer,KIDS,APP,3340941
CH,Peer,MEN AND UNISEX,APP,7388613
DE,,WOMEN,ACC,19080
DK,,MEN AND UNISEX,FTW,2729
ES,Peer,MEN AND UNISEX,APP,3725854
DE,,KIDS,FTW,57065
FR,,KIDS,APP,2886
DK,Peer,WOMEN,APP,892351
HR,Peer,KIDS,ACC,1786
ES,,WOMEN,FTW,8516
FR,Brand,KIDS,APP,222733
FI,Brand,WOMEN,FTW,48602
CH,Peer,KIDS,ACC,66288
AT,Peer,,,36
GB,Peer,KIDS,APP,90318
HU,Peer,KIDS,ACC,3054
NO,Peer,MEN AND UNISEX,ACC,187210
HR,Peer,MEN AND UNISEX,FTW,362407
EE,Brand,KIDS,APP,254
DE,Brand,MEN AND UNISEX,ACC,407303
CZ,Brand,MEN AND UNISEX,FTW,235389
SE,Peer,MEN AND UNISEX,APP,1400228
NL,Brand,MEN AND UNISEX,ACC,31375
RO,Brand,MEN AND UNISEX,ACC,2375
HR,Brand,MEN AND UNISEX,FTW,145978
PL,Peer,WOMEN,APP,1746298
AT,Brand,KIDS,FTW,30888
FI,Peer,KIDS,ACC,16435
CH,Brand,KIDS,ACC,1127
IT,,MEN AND UNISEX,APP,37940
DE,Peer,WOMEN,FTW,18284261
NO,Brand,WOMEN,APP,87035
NL,Peer,MEN AND UNISEX,ACC,413816
ES,Brand,WOMEN,ACC,1470
PL,,WOMEN,FTW,4686
FI,,MEN AND UNISEX,FTW,2262
IT,Peer,KIDS,FTW,3708983
IE,Brand,KIDS,FTW,3268
DK,Brand,MEN AND UNISEX,FTW,1173785
